match_status,field,name_ko,name_en,naver_value,vivino_value,id
MISMATCH,"스타일 (wine_type vs vivino_style)","제이콥스 크릭 클래식 리슬링","Jacobs Creek Classic Riesling","white","Australian Riesling",855ac7ae-385e-422a-a0f0-bddb772c9c0e
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","지디 바이라 바롤로 라베라","G.D. Vajra Barolo Ravera","네비올로","Nebbiolo",ee338a6b-8338-424b-acef-578e8544619e
MISMATCH,"지역 (region vs vivino_region)","지디 바이라 바롤로 라베라","G.D. Vajra Barolo Ravera","피에몬테","Italy / Northern Italy / Piemonte / Barolo",ee338a6b-8338-424b-acef-578e8544619e
MISMATCH,"생산자 (producer vs vivino_winery)","지디 바이라 바롤로 라베라","G.D. Vajra Barolo Ravera","G.D. Vajra","G.D. Vajra",ee338a6b-8338-424b-acef-578e8544619e
MISMATCH,"스타일 (wine_type vs vivino_style)","지디 바이라 바롤로 라베라","G.D. Vajra Barolo Ravera","red","Italian Barolo",ee338a6b-8338-424b-acef-578e8544619e
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","베린저 브로스 라이 배럴 레드 블렌드","Beringer Bros Rye Barrel Red Blend","","Cabernet Sauvignon, Merlot, Petite Sirah, Petit Verdot, Shiraz/Syrah",0055743e-50c1-4398-9e87-ba19f1e96397
VIVINO_ONLY,"지역 (region vs vivino_region)","베린저 브로스 라이 배럴 레드 블렌드","Beringer Bros Rye Barrel Red Blend","","United States / California",0055743e-50c1-4398-9e87-ba19f1e96397
MISMATCH,"생산자 (producer vs vivino_winery)","베린저 브로스 라이 배럴 레드 블렌드","Beringer Bros Rye Barrel Red Blend","베린저 브로스","Beringer",0055743e-50c1-4398-9e87-ba19f1e96397
MISMATCH,"스타일 (wine_type vs vivino_style)","베린저 브로스 라이 배럴 레드 블렌드","Beringer Bros Rye Barrel Red Blend","red","Californian Red Blend",0055743e-50c1-4398-9e87-ba19f1e96397
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","클로 드 타르 그랑 크뤼 모노폴","Clos de Tart Grand Cru Monopole 2016","피노 누아","Pinot Noir",005d646e-7290-4647-9261-2de735bcf12d
MISMATCH,"지역 (region vs vivino_region)","클로 드 타르 그랑 크뤼 모노폴","Clos de Tart Grand Cru Monopole 2016","부르고뉴","France / Bourgogne / Côte de Nuits / Morey-Saint-Denis / Clos de Tart Grand Cru",005d646e-7290-4647-9261-2de735bcf12d
MISMATCH,"생산자 (producer vs vivino_winery)","클로 드 타르 그랑 크뤼 모노폴","Clos de Tart Grand Cru Monopole 2016","Clos De Tart","Domaine du Clos de Tart",005d646e-7290-4647-9261-2de735bcf12d
MISMATCH,"스타일 (wine_type vs vivino_style)","클로 드 타르 그랑 크뤼 모노폴","Clos de Tart Grand Cru Monopole 2016","red","Burgundy Côte de Nuits Red",005d646e-7290-4647-9261-2de735bcf12d
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","카트눅 오디세이 까베르네 소비뇽","Cartnuck Odyssey Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon",008dbfb3-4bce-4174-8809-c73a23a3a77e
VIVINO_ONLY,"지역 (region vs vivino_region)","카트눅 오디세이 까베르네 소비뇽","Cartnuck Odyssey Cabernet Sauvignon","","Australia / South Australia / Limestone Coast / Coonawarra",008dbfb3-4bce-4174-8809-c73a23a3a77e
MISMATCH,"생산자 (producer vs vivino_winery)","카트눅 오디세이 까베르네 소비뇽","Cartnuck Odyssey Cabernet Sauvignon","카트눅","Katnook",008dbfb3-4bce-4174-8809-c73a23a3a77e
MISMATCH,"스타일 (wine_type vs vivino_style)","카트눅 오디세이 까베르네 소비뇽","Cartnuck Odyssey Cabernet Sauvignon","red","Australian Cabernet Sauvignon",008dbfb3-4bce-4174-8809-c73a23a3a77e
