wine_id,our_name,vivino_name,score,cross_score,rating,reviews,url,winery,grapes,region
4c86684c-d3ef-4fbd-ae16-20f7d01d573c,Marqués de Casa Concha Cabernet Sauvignon,Marques de Casa Concha Cabernet Sauvignon,1.00,1.00,3.9,82880,https://www.vivino.com/en/marques-de-casa-concha-cabernet-sauvignon/w/1135073,Marques de Casa Concha,Cabernet Sauvignon,Chile / Central Valley / Maipo Valley / Puente Alto
4c89bd5d-4299-49ac-b785-b0860f77d446,Castano Rosé Semi Sweet,N.V. Stella Rosa Pink Semi-Sweet Rose,0.50,0.50,4,1959,https://www.vivino.com/en/stella-rosa-pink-semi-sweet-rose/w/2006166,Stella Rosa,100% Moscato,Italy / Northern Italy / Piemonte
4ccb45ce-0c0f-4951-941b-938306e4d025,Rapaura Springs South Brook Vineyard Pinot Noir,Rapaura Springs South Brook Vineyard Pinot Noir,1.00,1.00,4.1,120,https://www.vivino.com/en/rapaura-springs-south-brook-vineyard-pinot-noir/w/9718508,Rapaura Springs,Pinot Noir,New Zealand / South Island / Marlborough
4cd19cc2-6c71-4c30-b763-2e78dd971264,Bottega Florentia Rosso Toscana,Bottega Florenzia Rosso,0.50,0.50,4.1,339,https://www.vivino.com/en/bottega-florenzia-rosso-tuscany/w/6808212,Bottega,"Cabernet Sauvignon, Sangiovese",Italy / Central Italy / Toscana
4cf95a22-161f-45d0-b33f-113a2753a06e,Roche Mazet Cabernet Sauvignon,Roche Mazet Cuvée Spéciale Cabernet Sauvignon,1.00,1.00,3.5,25703,https://www.vivino.com/en/fr-roche-mazet-cuvee-speciale-cabernet-sauvignon/w/1614157,Roche Mazet,Cabernet Sauvignon,France / Vin de Pays / Pays d'Oc
4d0157d3-0763-44d8-8adb-b15523992fa8,Macpherson Grenache Rosé,McPherson Lucie's Promise Grenache Rosé,0.50,0.50,3.8,337,https://www.vivino.com/en/mcpherson-5781-lucie-s-promise-grenache-rose-south-eastern/w/5544864,McPherson,Grenache,Australia / South Eastern Australia
4d0c85e8-6a34-4ce5-993b-2174cbd466b4,Longban Reserve Cabernet Sauvignon,Kendall-Jackson Vintner's Reserve Cabernet Sauvignon,0.75,0.75,3.8,25655,https://www.vivino.com/en/kendall-jackson-vintner-s-reserve-cabernet-sauvignon/w/2140,Kendall-Jackson,Cabernet Sauvignon,United States / California / North Coast / Sonoma County
4d2dc2e2-bcb6-41e9-a4cd-c299c1412451,Le Petit Cachot Chardonnay,Le Petit Cochonnet Chardonnay,0.67,0.67,3.5,952,https://www.vivino.com/en/le-petit-cochonnet-chardonnay/w/1807693,Le Petit Cochonnet,Chardonnay,France / Vin de Pays / Pays d'Oc
4d85aacc-627e-4007-8b32-d7452352c97c,Alumnea Nero d'Avola Merlot Sicily Organic,Allumea Organic Nero d'Avola - Merlot,0.67,0.67,3.9,504,https://www.vivino.com/en/allumea-organic-nero-d-avola-merlot/w/7583028,Allumea,"Nero d'Avola, Merlot",Italy / Southern Italy / Terre Siciliane / Sicilia
4f05c1f1-6127-45c9-bc52-b2ea41319a1c,Pas Si Bete Grand Reserve Chardonnay,Domaine Saint Philippe Pas Si Vite Grande Réserve Chardonnay,0.60,0.60,4.2,589,https://www.vivino.com/en/domaine-saint-philippe-pas-si-vite-grande-reserve-chardonnay/w/11131279,Domaine Saint Philippe,Chardonnay,France / Vin de Pays / Pays d'Oc
4f06584a-66a0-488a-9cf4-02bf13562bfa,Piu Piu Riesling Pét-Nat,Buttonwood Grove Riesling Pét-Nat,0.60,0.60,3.8,86,https://www.vivino.com/en/buttonwood-grove-riesling-pet-nat/w/8875877,Buttonwood Grove,Riesling,United States / New York / Finger Lakes
4f42ce27-51a2-478a-b925-dac23232122b,Silvia's House,Mud House Sauvignon Blanc,0.50,0.50,4,45934,https://www.vivino.com/en/mud-house-sauvignon-blanc/w/31464,Mud House,Sauvignon Blanc,New Zealand / South Island / Marlborough
4fb169a3-c6d9-4d90-839e-635a790829f4,Montes Alpha Black Label Cabernet Sauvignon,Montes Montes Alpha Cabernet Sauvignon,0.67,0.67,3.9,65651,https://www.vivino.com/en/montes-montes-alpha-cabernet-sauvignon/w/71294,Montes,Cabernet Sauvignon,Chile / Central Valley / Rapel Valley / Colchagua Valley
51c7ff72-b2d2-492b-a535-2cf10b5bff33,Robert Mondavi Vint Private Selection Buttery Chardonnay,Robert Mondavi Private Selection Vint Buttery Chardonnay,1.00,1.00,3.9,5537,https://www.vivino.com/en/robert-mondavi-private-selection-vint-buttery-chardonnay/w/7656070,Robert Mondavi Private Selection,Chardonnay,United States / California
51caba0a-d307-4986-9aa4-90d470c3a164,Catena Zapata Alamos Malbec,Catena Zapata Malbec Argentino,0.75,0.75,4.5,78388,https://www.vivino.com/en/catena-zapata-malbec-argentino/w/1869,Catena Zapata,Malbec,Argentina / Mendoza
51d29d1b-7232-4dc1-aaee-ff303a7d4db1,Canti Cuore Rosso,Canti Cuore Rosso,1.00,1.00,3.3,31,https://www.vivino.com/en/canti-cuore-rosso-vino-da-tavola-red-wine-v-ph5xu/w/9333057,,,Italy / Vino d'Italia
51dd2576-40c7-48e6-acaf-5e3b37c36fb3,The Line Chardonnay,G. Marquis The Silver Line Chardonnay,1.00,1.00,3.7,179,https://www.vivino.com/en/g-marquis-the-silver-line-chardonnay/w/5105029,G. Marquis,Chardonnay,Canada / Ontario / Niagara-on-the-Lake
51e9f33b-26b3-426d-ad1b-45d1e54256fa,Two Hands Ares Wine,Two Hands Ares,0.95,0.95,4.4,2632,https://www.vivino.com/en/two-hands-ares-barossa-valley/w/1464100,Two Hands,Shiraz/Syrah,Australia / South Australia / Barossa / Barossa Valley
